Código;Estudios;Lugar;Universitat;Àmbit;PAU y FP;Mayores de 25;Titulados Universitarios;Mayores de 45
31074;Disseny i Desenvolupament de Videojocs ;Barcelona / Terrassa ;UPC;Ingeniería y Arquitectura;  7,457;  7,938;  5,000;  5,000
61037;Educació Infantil / Educació Primària ;Lleida ;UdL;Ciencias Sociales y Jurídicas;  7,449;  5,000;  5,000;  5,000
41038;"Ciències de l'Activitat Física i de l'Esport ""Tecnocampus"" ";Mataró ;UPF;Ciencias de la Salud;  7,440;  5,000;  5,000;  5,000
11023;Estudis Literaris ;Barcelona ;UB;Artes y Humanidades;  7,436;  5,375;  7,800;  5,000
61031;Nutrició Humana i Dietètica ;Lleida ;UdL;Ciencias de la Salud;  7,421;  5,000;  7,411;  5,167
11033;Administració i Direcció d'Empreses ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  7,414;  5,000;  5,000;  5,000
11053;Belles Arts ;Barcelona ;UB;Artes y Humanidades;  7,389;  5,250;  6,250;  5,833
81005;"Audiovisual i multimèdia ""ERAM"" ";Salt ;UdG;Artes y Humanidades;  7,370;  5,313;  5,000;  5,000
81046;Administració i Direcció d'Empreses / Enginyeria en Tecnologies Industrials ;Girona ;UdG;Ciencias Sociales y Jurídicas;  7,365;  5,000;  5,000;  5,000
31011;Enginyeria de Sistemes Biològics ;Castelldefels ;UPC;Ingeniería y Arquitectura;  7,350;  5,000;  5,000;  5,000
91908;Fisioteràpia ;Docència en Anglès ;UdG / UB;Ciencias de la Salud;  7,350;  5,000;  8,200;  5,000
61013;Educació Social ;Lleida ;UdL;Ciencias Sociales y Jurídicas;  7,316;  5,000;  5,000;  5,000
81044;Treball Social ;Girona ;UdG;Ciencias Sociales y Jurídicas;  7,265;  5,875;  5,000;  5,000
71034;Educació Infantil ;el Vendrell ;URV;Ciencias Sociales y Jurídicas;  7,210;  5,000;  7,540;  5,000
81062;"Màrqueting / Turisme ""Mediterrani"" ";Girona ;UdG;Ciencias Sociales y Jurídicas;  7,210;  5,000;  5,000;  5,000
11008;Ciències Polítiques i de l'Administració ;Barcelona ;UB;Ciencias Sociales y Jurídicas;  7,120;  5,438;  5,000;  5,000
11076;Seguretat ;Mollet del Vallès ;UB;Ciencias Sociales y Jurídicas;  7,084;  7,000;  5,000;  5,000
21013;Ciència Política i Gestió Pública ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  7,080;  5,000;  5,000;  5,000
81003;Administració i Direcció d'Empreses ;Girona ;UdG;Ciencias Sociales y Jurídicas;  7,070;  5,000;  5,000;  5,000
61035;Administració i Direcció d'Empreses / Dret ;Lleida ;UdL;Ciencias Sociales y Jurídicas;  7,030;  5,000;  5,000;  5,000
21106;Enginyeria Electrònica de Telecomunicació / Enginyeria Informàtica ;Cerdanyola del Vallès ;UAB;Ingeniería y Arquitectura;  6,987;  5,000;  5,000;  5,000
21038;Gestió Aeronàutica ;Cerdanyola del Vallès ;UAB;Ciencias Sociales y Jurídicas;  6,960;  5,000;  5,000;  5,000
